time,q0,q1,q2,dq0,dq1,dq2,tau0,tau1,tau2
1722873643.79673,0.143855929,0.782537103,-1.002295017,0.074410057,-0.2116036,-0.023455344,1.543668795,0.450236744,0.142245114
1722873643.79863,0.143946707,0.782204092,-1.002279162,0.071309638,-0.189900666,-0.01455849,1.558511782,0.420550805,0.142245114
1722873643.80059,0.144067824,0.782204092,-1.002295017,0.073634952,-0.183699828,-0.019411319,1.588197732,0.361178923,0.142245114
1722873643.80333,0.14421922,0.781477392,-1.002279162,0.089912155,-0.219354647,-0.012132075,1.568407106,0.371074229,0.123279101
1722873643.80502,0.144310057,0.781114101,-1.002279162,0.095337889,-0.234856749,-0.001213208,1.598093033,0.410655481,0.180177146
1722873643.80662,0.144400895,0.780720472,-1.002279162,0.065883906,-0.220904863,0.007279245,1.568407083,0.395812511,0.246558198
1722873643.80859,0.144643128,0.780296564,-1.002295017,0.053482229,-0.222455069,-0.004044025,1.533773494,0.361178917,0.208626169
1722873643.81051,0.144764245,0.779630482,-1.002295017,0.060458171,-0.186025146,-0.014558489,1.533773494,0.35623126,0.113796094
1722873643.81259,0.144824803,0.779297411,-1.002295017,0.065883906,-0.165097317,-0.014154087,1.588197732,0.385917199,0.075864065
1722873643.81458,0.144976199,0.778994679,-1.002295017,0.075185163,-0.148045012,-0.010514465,1.568407106,0.420550799,0.075864065
1722873643.8166,0.145036697,0.778570771,-1.002295017,0.075185163,-0.193776196,-0.004448427,1.533773518,0.49971332,0.094830081
1722873643.81853,0.145218372,0.7782377,-1.002310753,0.1139404,-0.205402774,-0.010514465,1.548616457,0.460132062,0.094830081
1722873643.82051,0.145278931,0.777904689,-1.002295017,0.105414249,-0.193776199,-0.007279245,1.588197708,0.400760174,0.094830081
1722873643.82251,0.145521164,0.777117431,-1.002295017,0.087586839,-0.177498993,-0.002426415,1.548616457,0.410655481,0.094830081
1722873643.82453,0.14567256,0.776754141,-1.002310753,0.05038181,-0.155020952,-0.00808805,1.558511782,0.440341419,0.094830081
1722873643.82652,0.145763397,0.776299953,-1.002295017,0.058907962,-0.17749899,-0.00485283,1.523878169,0.410655481,0.075864065
1722873643.82855,0.145823956,0.775966883,-1.002310753,0.051932019,-0.191450876,-0.008492452,1.598092985,0.395812511,0.075864065
1722873643.83064,0.14603591,0.775573313,-1.002310753,0.083711314,-0.203852558,-0.014154088,1.528825784,0.494765639,0.066381057
1722873643.83298,0.146126688,0.77533108,-1.002310753,0.103864038,-0.187575358,-0.018602515,1.563459396,0.489817983,0.056898049
1722873643.83485,0.146247804,0.77533108,-1.002310753,0.101538724,-0.175173679,-0.013749684,1.538721132,0.42549845,0.066381057
1722873643.83665,0.1463992,0.774422765,-1.002310753,0.093012571,-0.191450876,-0.007279245,1.553564095,0.390864855,0.066381057
1722873643.83864,0.146490037,0.774089694,-1.002310753,0.085261524,-0.206952971,0.00161761,1.553564095,0.390864855,0.056898049
1722873643.84068,0.146732271,0.773665786,-1.002342343,0.077510476,-0.231756324,-0.003639622,1.588197708,0.371074229,0.04741504
1722873643.84253,0.146732271,0.773423612,-1.002342343,0.070534533,-0.199201924,-0.006066037,1.603040695,0.390864855,0.04741504
1722873643.84458,0.146944225,0.772696912,-1.002373934,0.062008381,-0.175948781,-0.024668551,1.588197708,0.435393763,0.04741504
1722873643.8468,0.147065341,0.772363901,-1.002342343,0.077510476,-0.161996895,-0.016580501,1.578302383,0.405707824,0.04741504
1722873643.8486,0.147186458,0.772091389,-1.002358198,0.098438305,-0.174398571,-0.017389306,1.548616457,0.400760168,0.066381057
1722873643.85082,0.147277236,0.771758318,-1.002358198,0.105414248,-0.176723886,-0.017389307,1.543668795,0.430446106,0.066381057
1722873643.85258,0.147458911,0.771122515,-1.002389789,0.082936209,-0.186025149,-0.025881759,1.558511758,0.42549845,0.056898049
1722873643.85451,0.147580028,0.770819724,-1.002389789,0.086036628,-0.205402768,-0.022646539,1.578302383,0.390864855,0.04741504
1722873643.8565,0.147670865,0.770486653,-1.002389789,0.091462362,-0.224005285,-0.019006917,1.573354721,0.400760168,0.04741504
1722873643.85852,0.147791982,0.770244479,-1.002405524,0.098438305,-0.202302349,-0.023455344,1.563459396,0.380969542,0.028449024
1722873643.86053,0.147913098,0.76985085,-1.002405524,0.110839981,-0.195326403,-0.016984904,1.528825808,0.35623126,0.009483008
1722873643.86309,0.148094773,0.769517779,-1.002421379,0.100763619,-0.193001086,-0.010918867,1.509035206,0.371074229,0
1722873643.86478,0.148094773,0.76912415,-1.00245297,0.094562781,-0.202302343,-0.010918867,1.499139905,0.395812511,0.009483008
1722873643.86673,0.148306727,0.768427789,-1.00245297,0.057357752,-0.189900666,-0.023859747,1.528825831,0.390864855,0.018966016
1722873643.86857,0.148427784,0.76803422,-1.002468705,0.043405867,-0.193001086,-0.031138992,1.568407083,0.395812511,0.009483008
1722873643.87069,0.14857918,0.767761707,-1.002468705,0.048056495,-0.191450876,-0.028308175,1.558511782,0.430446106,0
1722873643.87272,0.148670018,0.767428637,-1.00245297,0.042630762,-0.183699828,-0.01455849,1.558511782,0.42549845,-0.018966016
1722873643.87453,0.148791134,0.767065287,-1.002468705,0.058132857,-0.198426825,-0.01132327,1.538721156,0.380969542,-0.037932032
1722873643.87654,0.149033368,0.766701996,-1.00248456,0.0976632,-0.217029339,-0.023455344,1.553564119,0.380969542,-0.04741504
1722873643.87858,0.149124205,0.766126692,-1.00248456,0.124791867,-0.215479133,-0.028712577,1.528825831,0.385917199,-0.04741504
1722873643.88052,0.149215043,0.765793681,-1.00248456,0.103088933,-0.207728088,-0.023050942,1.53377347,0.380969542,-0.028449024
1722873643.88275,0.149336159,0.765400052,-1.00248456,0.0651088,-0.197651723,-0.017389306,1.50408752,0.430446118,-0.028449024
1722873643.88456,0.149517775,0.765036702,-1.002500296,0.089912152,-0.204627666,-0.017793709,1.479349232,0.470027369,-0.018966016
